ist_firma;Firma;Anrede;Anrede1;Vorname1;Nachname1;Anrede2;Vorname2;Nachname2;Anschrift ;PLZ;Ort ;Email1;Email2;IBAN
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
FALSE;;;;;;;;;;;;;;
